Variable,Title,Description,Slide,Category
{{WS_ADE1}},ADE Private Endpoints (Disabled Public),Workload scanner setting: ADE Private Endpoints (Disabled Public),17,Workload Scanner Config
{{WS_ADE1_R}},ADE Private Endpoints (Disabled Public) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: ADE Private Endpoints (Disabled Public),17,Workload Scanner Config
{{WS_ADE2}},ADE Private Endpoints (Selected VNets),Workload scanner setting: ADE Private Endpoints (Selected VNets),17,Workload Scanner Config
{{WS_ADE2_R}},ADE Private Endpoints (Selected VNets) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: ADE Private Endpoints (Selected VNets),17,Workload Scanner Config
{{WS_AFIM}},Agentless File Integrity Monitoring,Workload scanner setting: Agentless File Integrity Monitoring,17,Workload Scanner Config
{{WS_AFIM_R}},Agentless File Integrity Monitoring - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Agentless File Integrity Monitoring,17,Workload Scanner Config
{{WS_CIGS}},Compute Instance Group Sampling,Workload scanner setting: Compute Instance Group Sampling,17,Workload Scanner Config
{{WS_CIGS_R}},Compute Instance Group Sampling - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Compute Instance Group Sampling,17,Workload Scanner Config
{{WS_CMK}},Shared AWS CMKs,Workload scanner setting: Shared AWS CMKs,17,Workload Scanner Config
{{WS_CMK_R}},Shared AWS CMKs - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Shared AWS CMKs,17,Workload Scanner Config
{{WS_EXCL}},Workload Scanning Exclusions,Workload scanner setting: Workload Scanning Exclusions,17,Workload Scanner Config
{{WS_EXCL_R}},Workload Scanning Exclusions - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Workload Scanning Exclusions,17,Workload Scanner Config
{{WS_LAMB}},AWS Lambda Version Scanning,Workload scanner setting: AWS Lambda Version Scanning,17,Workload Scanner Config
{{WS_LAMB_R}},AWS Lambda Version Scanning - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS Lambda Version Scanning,17,Workload Scanner Config
{{WS_LSAIL}},AWS LightSail Scanning,Workload scanner setting: AWS LightSail Scanning,17,Workload Scanner Config
{{WS_LSAIL_R}},AWS LightSail Scanning - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS LightSail Scanning,17,Workload Scanner Config
{{WS_NONOS}},Scanning Non-OS Disks,Workload scanner setting: Scanning Non-OS Disks,17,Workload Scanner Config
{{WS_NONOS_R}},Scanning Non-OS Disks - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Scanning Non-OS Disks,17,Workload Scanner Config
{{WS_NRT}},Near Real-Time Scanning,Workload scanner setting: Near Real-Time Scanning,17,Workload Scanner Config
{{WS_NRTW}},Include NRT Workload Scanning,Workload scanner setting: Include NRT Workload Scanning,17,Workload Scanner Config
{{WS_NRTW_R}},Include NRT Workload Scanning - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Include NRT Workload Scanning,17,Workload Scanner Config
{{WS_NRT_R}},Near Real-Time Scanning - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Near Real-Time Scanning,17,Workload Scanner Config
{{WS_TAGS}},Custom Scanner Tags,Workload scanner setting: Custom Scanner Tags,17,Workload Scanner Config
{{WS_TAGS_R}},Custom Scanner Tags - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Custom Scanner Tags,17,Workload Scanner Config
{{WS_TVOL}},AWS Scanning via Temp Volumes,Workload scanner setting: AWS Scanning via Temp Volumes,17,Workload Scanner Config
{{WS_TVOL_R}},AWS Scanning via Temp Volumes - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS Scanning via Temp Volumes,17,Workload Scanner Config
{{WS_VM}},Virtual Machine Scanning,Workload scanner setting: Virtual Machine Scanning,17,Workload Scanner Config
{{WS_VM_R}},Virtual Machine Scanning - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Virtual Machine Scanning,17,Workload Scanner Config
{{DSS_AIAO}},Azure OpenAI,Data security scanner coverage: Azure OpenAI,18,Data Security Scanner Config
{{DSS_AIAO_R}},Azure OpenAI - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Azure OpenAI,18,Data Security Scanner Config
{{DSS_AIOA}},OpenAI,Data security scanner coverage: OpenAI,18,Data Security Scanner Config
{{DSS_AIOA_R}},OpenAI - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: OpenAI,18,Data Security Scanner Config
{{DSS_AIV}},Vertex AI,Data security scanner coverage: Vertex AI,18,Data Security Scanner Config
{{DSS_AIV_R}},Vertex AI - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Vertex AI,18,Data Security Scanner Config
{{DSS_AZ1}},Storage: Azure Private Endpoints (Disabled Public),Data security scanner coverage: Storage: Azure Private Endpoints (Disabled Public),18,Data Security Scanner Config
{{DSS_AZ1_R}},Storage: Azure Private Endpoints (Disabled Public) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Storage: Azure Private Endpoints (Disabled Public),18,Data Security Scanner Config
{{DSS_AZ2}},Storage: Azure Private Endpoints (Selected VNets),Data security scanner coverage: Storage: Azure Private Endpoints (Selected VNets),18,Data Security Scanner Config
{{DSS_AZ2_R}},Storage: Azure Private Endpoints (Selected VNets) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Storage: Azure Private Endpoints (Selected VNets),18,Data Security Scanner Config
{{DSS_BQ}},Google BigQuery,Data security scanner coverage: Google BigQuery,18,Data Security Scanner Config
{{DSS_BQ_R}},Google BigQuery - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Google BigQuery,18,Data Security Scanner Config
{{DSS_BUCK}},Buckets (Public & Private),Data security scanner coverage: Buckets (Public & Private),18,Data Security Scanner Config
{{DSS_BUCK_R}},Buckets (Public & Private) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Buckets (Public & Private),18,Data Security Scanner Config
{{DSS_CDBAZ1}},CosmosDB: Azure Private Endpoints (Disabled Public),Data security scanner coverage: CosmosDB: Azure Private Endpoints (Disabled Public),18,Data Security Scanner Config
{{DSS_CDBAZ1_R}},CosmosDB: Azure Private Endpoints (Disabled Public) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: CosmosDB: Azure Private Endpoints (Disabled Public),18,Data Security Scanner Config
{{DSS_CDBAZ2}},CosmosDB: Azure Private Endpoints (Selected VNets),Data security scanner coverage: CosmosDB: Azure Private Endpoints (Selected VNets),18,Data Security Scanner Config
{{DSS_CDBAZ2_R}},CosmosDB: Azure Private Endpoints (Selected VNets) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: CosmosDB: Azure Private Endpoints (Selected VNets),18,Data Security Scanner Config
{{DSS_DDB}},Amazon DynamoDB,Data security scanner coverage: Amazon DynamoDB,18,Data Security Scanner Config
{{DSS_DDB_R}},Amazon DynamoDB - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Amazon DynamoDB,18,Data Security Scanner Config
{{DSS_DW}},Data Warehouses,Data security scanner coverage: Data Warehouses,18,Data Security Scanner Config
{{DSS_DW_R}},Data Warehouses - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Data Warehouses,18,Data Security Scanner Config
{{DSS_IAAS}},Hosted Databases (IaaS),Data security scanner coverage: Hosted Databases (IaaS),18,Data Security Scanner Config
{{DSS_IAAS_R}},Hosted Databases (IaaS) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Hosted Databases (IaaS),18,Data Security Scanner Config
{{DSS_ON}},Data Security Scanner (master toggle),Data security scanner coverage: Data Security Scanner (master toggle),18,Data Security Scanner Config
{{DSS_ON_R}},Data Security Scanner (master toggle) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Data Security Scanner (master toggle),18,Data Security Scanner Config
{{DSS_PAAS}},Cloud Managed Databases (PaaS),Data security scanner coverage: Cloud Managed Databases (PaaS),18,Data Security Scanner Config
{{DSS_PAAS_R}},Cloud Managed Databases (PaaS) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Cloud Managed Databases (PaaS),18,Data Security Scanner Config
{{DSS_SHAD}},Shadow Data,Data security scanner coverage: Shadow Data,18,Data Security Scanner Config
{{DSS_SHAD_R}},Shadow Data - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Shadow Data,18,Data Security Scanner Config
{{DSS_SLS}},Serverless Functions,Data security scanner coverage: Serverless Functions,18,Data Security Scanner Config
{{DSS_SLS_R}},Serverless Functions - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Serverless Functions,18,Data Security Scanner Config
{{DSS_SNOW}},Snowflake,Data security scanner coverage: Snowflake,18,Data Security Scanner Config
{{DSS_SNOW_R}},Snowflake - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Snowflake,18,Data Security Scanner Config
{{DSS_VDRV}},Virtual Drives,Data security scanner coverage: Virtual Drives,18,Data Security Scanner Config
{{DSS_VDRV_R}},Virtual Drives - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Virtual Drives,18,Data Security Scanner Config
{{DSS_VMD}},VM Disks (OS and non-OS),Data security scanner coverage: VM Disks (OS and non-OS),18,Data Security Scanner Config
{{DSS_VMD_R}},VM Disks (OS and non-OS) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: VM Disks (OS and non-OS),18,Data Security Scanner Config
{{VS_ARTIF}},Artifacts (lifecycle stages),Lifecycle stages where build artifacts are analyzed,18,Vulnerability Scanner Config
{{VS_ARTIF_R}},Artifacts (lifecycle stages) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Artifacts (lifecycle stages),18,Vulnerability Scanner Config
{{VS_EOL}},End of Life Detection,End-of-life technology detection status/window,18,Vulnerability Scanner Config
{{VS_EOL_R}},End of Life Detection - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: End of Life Detection,18,Vulnerability Scanner Config
{{VS_EXCL}},Code Library Exclusion Paths (Legacy),Whether legacy code-library exclusion paths are enabled,18,Vulnerability Scanner Config
{{VS_EXCL_R}},Code Library Exclusion Paths (Legacy) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Code Library Exclusion Paths (Legacy),18,Vulnerability Scanner Config
{{VS_GOSTD}},Go Standard Library,Whether Go standard library vulns are detected,18,Vulnerability Scanner Config
{{VS_GOSTD_R}},Go Standard Library - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Go Standard Library,18,Vulnerability Scanner Config
{{VS_GRADL}},Dependency Scopes: Gradle,Gradle dependency scopes analyzed,18,Vulnerability Scanner Config
{{VS_GRADL_R}},Dependency Scopes: Gradle - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: Gradle,18,Vulnerability Scanner Config
{{VS_JSDEP}},Dependency Scopes: JS (npm/pnpm/Yarn),JS (npm/pnpm/Yarn) dependency scopes analyzed,18,Vulnerability Scanner Config
{{VS_JSDEP_R}},Dependency Scopes: JS (npm/pnpm/Yarn) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: JS (npm/pnpm/Yarn),18,Vulnerability Scanner Config
{{VS_LOCK}},Lock Files (lifecycle stages),Lifecycle stages where lock files are analyzed,18,Vulnerability Scanner Config
{{VS_LOCK_R}},Lock Files (lifecycle stages) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Lock Files (lifecycle stages),18,Vulnerability Scanner Config
{{VS_LVULN}},Linux Vulnerabilities,Whether latest-kernel Linux vulnerabilities are detected,18,Vulnerability Scanner Config
{{VS_LVULN_R}},Linux Vulnerabilities - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Linux Vulnerabilities,18,Vulnerability Scanner Config
{{VS_MANIF}},Manifest Files (lifecycle stages),Lifecycle stages where manifest files are analyzed,18,Vulnerability Scanner Config
{{VS_MANIF_R}},Manifest Files (lifecycle stages) - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Manifest Files (lifecycle stages),18,Vulnerability Scanner Config
{{VS_MAVEN}},Dependency Scopes: Maven,Maven dependency scopes analyzed,18,Vulnerability Scanner Config
{{VS_MAVEN_R}},Dependency Scopes: Maven - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: Maven,18,Vulnerability Scanner Config
{{VS_OSPKG}},OS-Package Managed Code Libraries,Whether OS-package managed code library vulns are detected,18,Vulnerability Scanner Config
{{VS_OSPKG_R}},OS-Package Managed Code Libraries - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: OS-Package Managed Code Libraries,18,Vulnerability Scanner Config
{{VS_RHOS}},Ignore Red Hat OpenShift Vulns,Whether Red Hat OpenShift container library vulns are ignored,18,Vulnerability Scanner Config
{{VS_RHOS_R}},Ignore Red Hat OpenShift Vulns - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Ignore Red Hat OpenShift Vulns,18,Vulnerability Scanner Config
{{VS_WINB}},Windows App Bundled Libraries,Whether Windows app bundled library vulns are detected,18,Vulnerability Scanner Config
{{VS_WINB_R}},Windows App Bundled Libraries - Recommendation,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Windows App Bundled Libraries,18,Vulnerability Scanner Config
{{PI_T1_1}},Tier 1 Potential Integration #1 Name,Technology name of tier 1 potential integration #1 (by service-account activity),19,Potential Integrations
{{PI_T1_1_FA}},Tier 1 Potential Integration #1 First Seen,First-added date for tier 1 potential integration #1,19,Potential Integrations
{{PI_T1_1_LA}},Tier 1 Potential Integration #1 Last Seen,Latest-added date for tier 1 potential integration #1,19,Potential Integrations
{{PI_T1_1_SA}},Tier 1 Potential Integration #1 Service Accounts,Service-account count for tier 1 potential integration #1,19,Potential Integrations
{{PI_T1_2}},Tier 1 Potential Integration #2 Name,Technology name of tier 1 potential integration #2 (by service-account activity),19,Potential Integrations
{{PI_T1_2_FA}},Tier 1 Potential Integration #2 First Seen,First-added date for tier 1 potential integration #2,19,Potential Integrations
{{PI_T1_2_LA}},Tier 1 Potential Integration #2 Last Seen,Latest-added date for tier 1 potential integration #2,19,Potential Integrations
{{PI_T1_2_SA}},Tier 1 Potential Integration #2 Service Accounts,Service-account count for tier 1 potential integration #2,19,Potential Integrations
{{PI_T1_3}},Tier 1 Potential Integration #3 Name,Technology name of tier 1 potential integration #3 (by service-account activity),19,Potential Integrations
{{PI_T1_3_FA}},Tier 1 Potential Integration #3 First Seen,First-added date for tier 1 potential integration #3,19,Potential Integrations
{{PI_T1_3_LA}},Tier 1 Potential Integration #3 Last Seen,Latest-added date for tier 1 potential integration #3,19,Potential Integrations
{{PI_T1_3_SA}},Tier 1 Potential Integration #3 Service Accounts,Service-account count for tier 1 potential integration #3,19,Potential Integrations
{{PI_T1_4}},Tier 1 Potential Integration #4 Name,Technology name of tier 1 potential integration #4 (by service-account activity),19,Potential Integrations
{{PI_T1_4_FA}},Tier 1 Potential Integration #4 First Seen,First-added date for tier 1 potential integration #4,19,Potential Integrations
{{PI_T1_4_LA}},Tier 1 Potential Integration #4 Last Seen,Latest-added date for tier 1 potential integration #4,19,Potential Integrations
{{PI_T1_4_SA}},Tier 1 Potential Integration #4 Service Accounts,Service-account count for tier 1 potential integration #4,19,Potential Integrations
{{PI_T1_5}},Tier 1 Potential Integration #5 Name,Technology name of tier 1 potential integration #5 (by service-account activity),19,Potential Integrations
{{PI_T1_5_FA}},Tier 1 Potential Integration #5 First Seen,First-added date for tier 1 potential integration #5,19,Potential Integrations
{{PI_T1_5_LA}},Tier 1 Potential Integration #5 Last Seen,Latest-added date for tier 1 potential integration #5,19,Potential Integrations
{{PI_T1_5_SA}},Tier 1 Potential Integration #5 Service Accounts,Service-account count for tier 1 potential integration #5,19,Potential Integrations
{{PI_T1_6}},Tier 1 Potential Integration #6 Name,Technology name of tier 1 potential integration #6 (by service-account activity),19,Potential Integrations
{{PI_T1_6_FA}},Tier 1 Potential Integration #6 First Seen,First-added date for tier 1 potential integration #6,19,Potential Integrations
{{PI_T1_6_LA}},Tier 1 Potential Integration #6 Last Seen,Latest-added date for tier 1 potential integration #6,19,Potential Integrations
{{PI_T1_6_SA}},Tier 1 Potential Integration #6 Service Accounts,Service-account count for tier 1 potential integration #6,19,Potential Integrations
{{PI_T1_7}},Tier 1 Potential Integration #7 Name,Technology name of tier 1 potential integration #7 (by service-account activity),19,Potential Integrations
{{PI_T1_7_FA}},Tier 1 Potential Integration #7 First Seen,First-added date for tier 1 potential integration #7,19,Potential Integrations
{{PI_T1_7_LA}},Tier 1 Potential Integration #7 Last Seen,Latest-added date for tier 1 potential integration #7,19,Potential Integrations
{{PI_T1_7_SA}},Tier 1 Potential Integration #7 Service Accounts,Service-account count for tier 1 potential integration #7,19,Potential Integrations
{{PI_T1_8}},Tier 1 Potential Integration #8 Name,Technology name of tier 1 potential integration #8 (by service-account activity),19,Potential Integrations
{{PI_T1_8_FA}},Tier 1 Potential Integration #8 First Seen,First-added date for tier 1 potential integration #8,19,Potential Integrations
{{PI_T1_8_LA}},Tier 1 Potential Integration #8 Last Seen,Latest-added date for tier 1 potential integration #8,19,Potential Integrations
{{PI_T1_8_SA}},Tier 1 Potential Integration #8 Service Accounts,Service-account count for tier 1 potential integration #8,19,Potential Integrations
{{PI_T2_1}},Tier 2 Potential Integration #1 Name,Technology name of tier 2 potential integration #1 (by service-account activity),19,Potential Integrations
{{PI_T2_1_FA}},Tier 2 Potential Integration #1 First Seen,First-added date for tier 2 potential integration #1,19,Potential Integrations
{{PI_T2_1_LA}},Tier 2 Potential Integration #1 Last Seen,Latest-added date for tier 2 potential integration #1,19,Potential Integrations
{{PI_T2_1_SA}},Tier 2 Potential Integration #1 Service Accounts,Service-account count for tier 2 potential integration #1,19,Potential Integrations
{{PI_T2_2}},Tier 2 Potential Integration #2 Name,Technology name of tier 2 potential integration #2 (by service-account activity),19,Potential Integrations
{{PI_T2_2_FA}},Tier 2 Potential Integration #2 First Seen,First-added date for tier 2 potential integration #2,19,Potential Integrations
{{PI_T2_2_LA}},Tier 2 Potential Integration #2 Last Seen,Latest-added date for tier 2 potential integration #2,19,Potential Integrations
{{PI_T2_2_SA}},Tier 2 Potential Integration #2 Service Accounts,Service-account count for tier 2 potential integration #2,19,Potential Integrations
{{PI_T2_3}},Tier 2 Potential Integration #3 Name,Technology name of tier 2 potential integration #3 (by service-account activity),19,Potential Integrations
{{PI_T2_3_FA}},Tier 2 Potential Integration #3 First Seen,First-added date for tier 2 potential integration #3,19,Potential Integrations
{{PI_T2_3_LA}},Tier 2 Potential Integration #3 Last Seen,Latest-added date for tier 2 potential integration #3,19,Potential Integrations
{{PI_T2_3_SA}},Tier 2 Potential Integration #3 Service Accounts,Service-account count for tier 2 potential integration #3,19,Potential Integrations
{{PI_T2_4}},Tier 2 Potential Integration #4 Name,Technology name of tier 2 potential integration #4 (by service-account activity),19,Potential Integrations
{{PI_T2_4_FA}},Tier 2 Potential Integration #4 First Seen,First-added date for tier 2 potential integration #4,19,Potential Integrations
{{PI_T2_4_LA}},Tier 2 Potential Integration #4 Last Seen,Latest-added date for tier 2 potential integration #4,19,Potential Integrations
{{PI_T2_4_SA}},Tier 2 Potential Integration #4 Service Accounts,Service-account count for tier 2 potential integration #4,19,Potential Integrations
{{PI_T2_5}},Tier 2 Potential Integration #5 Name,Technology name of tier 2 potential integration #5 (by service-account activity),19,Potential Integrations
{{PI_T2_5_FA}},Tier 2 Potential Integration #5 First Seen,First-added date for tier 2 potential integration #5,19,Potential Integrations
{{PI_T2_5_LA}},Tier 2 Potential Integration #5 Last Seen,Latest-added date for tier 2 potential integration #5,19,Potential Integrations
{{PI_T2_5_SA}},Tier 2 Potential Integration #5 Service Accounts,Service-account count for tier 2 potential integration #5,19,Potential Integrations
{{PI_T3_1}},Tier 3 Potential Integration #1 Name,Technology name of tier 3 potential integration #1 (by service-account activity),19,Potential Integrations
{{PI_T3_1_FA}},Tier 3 Potential Integration #1 First Seen,First-added date for tier 3 potential integration #1,19,Potential Integrations
{{PI_T3_1_LA}},Tier 3 Potential Integration #1 Last Seen,Latest-added date for tier 3 potential integration #1,19,Potential Integrations
{{PI_T3_1_SA}},Tier 3 Potential Integration #1 Service Accounts,Service-account count for tier 3 potential integration #1,19,Potential Integrations
{{PI_T3_2}},Tier 3 Potential Integration #2 Name,Technology name of tier 3 potential integration #2 (by service-account activity),19,Potential Integrations
{{PI_T3_2_FA}},Tier 3 Potential Integration #2 First Seen,First-added date for tier 3 potential integration #2,19,Potential Integrations
{{PI_T3_2_LA}},Tier 3 Potential Integration #2 Last Seen,Latest-added date for tier 3 potential integration #2,19,Potential Integrations
{{PI_T3_2_SA}},Tier 3 Potential Integration #2 Service Accounts,Service-account count for tier 3 potential integration #2,19,Potential Integrations
{{PI_T3_3}},Tier 3 Potential Integration #3 Name,Technology name of tier 3 potential integration #3 (by service-account activity),19,Potential Integrations
{{PI_T3_3_FA}},Tier 3 Potential Integration #3 First Seen,First-added date for tier 3 potential integration #3,19,Potential Integrations
{{PI_T3_3_LA}},Tier 3 Potential Integration #3 Last Seen,Latest-added date for tier 3 potential integration #3,19,Potential Integrations
{{PI_T3_3_SA}},Tier 3 Potential Integration #3 Service Accounts,Service-account count for tier 3 potential integration #3,19,Potential Integrations
{{PI_T3_4}},Tier 3 Potential Integration #4 Name,Technology name of tier 3 potential integration #4 (by service-account activity),19,Potential Integrations
{{PI_T3_4_FA}},Tier 3 Potential Integration #4 First Seen,First-added date for tier 3 potential integration #4,19,Potential Integrations
{{PI_T3_4_LA}},Tier 3 Potential Integration #4 Last Seen,Latest-added date for tier 3 potential integration #4,19,Potential Integrations
{{PI_T3_4_SA}},Tier 3 Potential Integration #4 Service Accounts,Service-account count for tier 3 potential integration #4,19,Potential Integrations
{{PI_T3_5}},Tier 3 Potential Integration #5 Name,Technology name of tier 3 potential integration #5 (by service-account activity),19,Potential Integrations
{{PI_T3_5_FA}},Tier 3 Potential Integration #5 First Seen,First-added date for tier 3 potential integration #5,19,Potential Integrations
{{PI_T3_5_LA}},Tier 3 Potential Integration #5 Last Seen,Latest-added date for tier 3 potential integration #5,19,Potential Integrations
{{PI_T3_5_SA}},Tier 3 Potential Integration #5 Service Accounts,Service-account count for tier 3 potential integration #5,19,Potential Integrations
{{LU_ADV}},Advanced License Usage,Wiz Advanced workloads used vs licensed quota,4,License Usage
{{LU_CODE}},Wiz Code License Usage (Developers),Developers consuming the Wiz Code license,4,License Usage
{{LU_DEFEND}},Wiz Defend License Usage (Ingestion),Wiz Defend ingestion units consumed,4,License Usage
{{LU_SENSOR}},Wiz Sensor License Usage,Deployed runtime sensor coverage,4,License Usage
{{WS_TF}},Total Workload Scan Failures,Total failed workload scans across all resource types,5,Workload Scan Failures
{{WS_S1}},Top Failure Message #1,#1 workload scan failure reason by count,5,Workload Scan Failures
{{WS_S2}},Top Failure Message #2,#2 workload scan failure reason by count,5,Workload Scan Failures
{{WS_S3}},Top Failure Message #3,#3 workload scan failure reason by count,5,Workload Scan Failures
