Category,Variable,Title,Value,Slide,Description
Attack Surface Management,{{ASM_EAR_R}},Rules: Early Access Rules - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Early Access Rules
Attack Surface Management,{{ASM_EXPL}},Application Endpoint Exposure Level,Not available via MCP,17,ASM setting: Application Endpoint Exposure Level
Attack Surface Management,{{ASM_EXPL_R}},Application Endpoint Exposure Level - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Application Endpoint Exposure Level
Attack Surface Management,{{ASM_HPT}},Rules: High-Profile Threat Detection,Not available via MCP,17,ASM setting: Rules: High-Profile Threat Detection
Attack Surface Management,{{ASM_HPT_R}},Rules: High-Profile Threat Detection - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: High-Profile Threat Detection
Attack Surface Management,{{ASM_MISC}},Rules: Misconfiguration Detection,Not available via MCP,17,ASM setting: Rules: Misconfiguration Detection
Attack Surface Management,{{ASM_MISC_R}},Rules: Misconfiguration Detection - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Misconfiguration Detection
Attack Surface Management,{{ASM_MODE}},Scanner Mode (Basic/Advanced),Not available via MCP,17,ASM setting: Scanner Mode (Basic/Advanced)
Attack Surface Management,{{ASM_MODE_R}},Scanner Mode (Basic/Advanced) - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Scanner Mode (Basic/Advanced)
Attack Surface Management,{{ASM_RECON}},Advanced Scan Source: Reconnaissance,Not available via MCP,17,ASM setting: Advanced Scan Source: Reconnaissance
Attack Surface Management,{{ASM_RECON_R}},Advanced Scan Source: Reconnaissance - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Reconnaissance
Attack Surface Management,{{ASM_RS}},Advanced Scan Source: Runtime Sensor,Not available via MCP,17,ASM setting: Advanced Scan Source: Runtime Sensor
Attack Surface Management,{{ASM_RS_R}},Advanced Scan Source: Runtime Sensor - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: Runtime Sensor
Attack Surface Management,{{ASM_SAAS}},Advanced Scan Source: SaaS,Not available via MCP,17,ASM setting: Advanced Scan Source: SaaS
Attack Surface Management,{{ASM_SASS_R}},Advanced Scan Source: SaaS - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Advanced Scan Source: SaaS
Attack Surface Management,{{ASM_SEC}},Risk: Secret Findings Detection,Not available via MCP,17,ASM setting: Risk: Secret Findings Detection
Attack Surface Management,{{ASM_SEC_R}},Risk: Secret Findings Detection - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Secret Findings Detection
Attack Surface Management,{{ASM_SV}},Risk: Secret Validation,Not available via MCP,17,ASM setting: Risk: Secret Validation
Attack Surface Management,{{ASM_SV_R}},Risk: Secret Validation - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Secret Validation
Attack Surface Management,{{ASM_VEXP}},Rules: Vulnerability Exploitability,Not available via MCP,17,ASM setting: Rules: Vulnerability Exploitability
Attack Surface Management,{{ASM_VEXP_R}},Rules: Vulnerability Exploitability - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Rules: Vulnerability Exploitability
Attack Surface Management,{{ASM_VULN}},Risk: Vulnerability Assessment,Not available via MCP,17,ASM setting: Risk: Vulnerability Assessment
Attack Surface Management,{{ASM_VULN_R}},Risk: Vulnerability Assessment - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Risk: Vulnerability Assessment
Workload Scanner Config,{{WS_ADE1}},ADE Private Endpoints (Disabled Public),Not available via MCP,17,Workload scanner setting: ADE Private Endpoints (Disabled Public)
Workload Scanner Config,{{WS_ADE1_R}},ADE Private Endpoints (Disabled Public) - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: ADE Private Endpoints (Disabled Public)
Workload Scanner Config,{{WS_ADE2}},ADE Private Endpoints (Selected VNets),Not available via MCP,17,Workload scanner setting: ADE Private Endpoints (Selected VNets)
Workload Scanner Config,{{WS_ADE2_R}},ADE Private Endpoints (Selected VNets) - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: ADE Private Endpoints (Selected VNets)
Workload Scanner Config,{{WS_AFIM}},Agentless File Integrity Monitoring,Not available via MCP,17,Workload scanner setting: Agentless File Integrity Monitoring
Workload Scanner Config,{{WS_AFIM_R}},Agentless File Integrity Monitoring - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Agentless File Integrity Monitoring
Workload Scanner Config,{{WS_CIGS}},Compute Instance Group Sampling,Not available via MCP,17,Workload scanner setting: Compute Instance Group Sampling
Workload Scanner Config,{{WS_CIGS_R}},Compute Instance Group Sampling - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Compute Instance Group Sampling
Workload Scanner Config,{{WS_CMK}},Shared AWS CMKs,Not available via MCP,17,Workload scanner setting: Shared AWS CMKs
Workload Scanner Config,{{WS_CMK_R}},Shared AWS CMKs - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Shared AWS CMKs
Workload Scanner Config,{{WS_EXCL}},Workload Scanning Exclusions,"2 exclusion tags configured (scan-exclusions-test, WizDiskScan)",17,Workload scanner setting: Workload Scanning Exclusions
Workload Scanner Config,{{WS_EXCL_R}},Workload Scanning Exclusions - Recommendation,❌,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Workload Scanning Exclusions
Workload Scanner Config,{{WS_LAMB}},AWS Lambda Version Scanning,Not available via MCP,17,Workload scanner setting: AWS Lambda Version Scanning
Workload Scanner Config,{{WS_LAMB_R}},AWS Lambda Version Scanning - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS Lambda Version Scanning
Workload Scanner Config,{{WS_LSAIL}},AWS LightSail Scanning,Not available via MCP,17,Workload scanner setting: AWS LightSail Scanning
Workload Scanner Config,{{WS_LSAIL_R}},AWS LightSail Scanning - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS LightSail Scanning
Workload Scanner Config,{{WS_NONOS}},Scanning Non-OS Disks,Enabled,17,Workload scanner setting: Scanning Non-OS Disks
Workload Scanner Config,{{WS_NONOS_R}},Scanning Non-OS Disks - Recommendation,✅,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Scanning Non-OS Disks
Workload Scanner Config,{{WS_NRT}},Near Real-Time Scanning,Enabled,17,Workload scanner setting: Near Real-Time Scanning
Workload Scanner Config,{{WS_NRTW}},Include NRT Workload Scanning,Enabled,17,Workload scanner setting: Include NRT Workload Scanning
Workload Scanner Config,{{WS_NRTW_R}},Include NRT Workload Scanning - Recommendation,✅,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Include NRT Workload Scanning
Workload Scanner Config,{{WS_NRT_R}},Near Real-Time Scanning - Recommendation,✅,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Near Real-Time Scanning
Workload Scanner Config,{{WS_TAGS}},Custom Scanner Tags,Not available via MCP,17,Workload scanner setting: Custom Scanner Tags
Workload Scanner Config,{{WS_TAGS_R}},Custom Scanner Tags - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Custom Scanner Tags
Workload Scanner Config,{{WS_TVOL}},AWS Scanning via Temp Volumes,Enabled,17,Workload scanner setting: AWS Scanning via Temp Volumes
Workload Scanner Config,{{WS_TVOL_R}},AWS Scanning via Temp Volumes - Recommendation,✅,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: AWS Scanning via Temp Volumes
Workload Scanner Config,{{WS_VM}},Virtual Machine Scanning,Not available via MCP,17,Workload scanner setting: Virtual Machine Scanning
Workload Scanner Config,{{WS_VM_R}},Virtual Machine Scanning - Recommendation,N/A,17,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Virtual Machine Scanning
Data Security Scanner Config,{{DSS_AIAO}},Azure OpenAI,Not available via MCP,18,Data security scanner coverage: Azure OpenAI
Data Security Scanner Config,{{DSS_AIAO_R}},Azure OpenAI - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Azure OpenAI
Data Security Scanner Config,{{DSS_AIOA}},OpenAI,Not available via MCP,18,Data security scanner coverage: OpenAI
Data Security Scanner Config,{{DSS_AIOA_R}},OpenAI - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: OpenAI
Data Security Scanner Config,{{DSS_AIV}},Vertex AI,Not available via MCP,18,Data security scanner coverage: Vertex AI
Data Security Scanner Config,{{DSS_AIV_R}},Vertex AI - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Vertex AI
Data Security Scanner Config,{{DSS_AZ1}},Storage: Azure Private Endpoints (Disabled Public),Not available via MCP,18,Data security scanner coverage: Storage: Azure Private Endpoints (Disabled Public)
Data Security Scanner Config,{{DSS_AZ1_R}},Storage: Azure Private Endpoints (Disabled Public) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Storage: Azure Private Endpoints (Disabled Public)
Data Security Scanner Config,{{DSS_AZ2}},Storage: Azure Private Endpoints (Selected VNets),Not available via MCP,18,Data security scanner coverage: Storage: Azure Private Endpoints (Selected VNets)
Data Security Scanner Config,{{DSS_AZ2_R}},Storage: Azure Private Endpoints (Selected VNets) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Storage: Azure Private Endpoints (Selected VNets)
Data Security Scanner Config,{{DSS_BQ}},Google BigQuery,Not available via MCP,18,Data security scanner coverage: Google BigQuery
Data Security Scanner Config,{{DSS_BQ_R}},Google BigQuery - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Google BigQuery
Data Security Scanner Config,{{DSS_BUCK}},Buckets (Public & Private),Not available via MCP,18,Data security scanner coverage: Buckets (Public & Private)
Data Security Scanner Config,{{DSS_BUCK_R}},Buckets (Public & Private) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Buckets (Public & Private)
Data Security Scanner Config,{{DSS_CDBAZ1}},CosmosDB: Azure Private Endpoints (Disabled Public),Not available via MCP,18,Data security scanner coverage: CosmosDB: Azure Private Endpoints (Disabled Public)
Data Security Scanner Config,{{DSS_CDBAZ1_R}},CosmosDB: Azure Private Endpoints (Disabled Public) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: CosmosDB: Azure Private Endpoints (Disabled Public)
Data Security Scanner Config,{{DSS_CDBAZ2}},CosmosDB: Azure Private Endpoints (Selected VNets),Not available via MCP,18,Data security scanner coverage: CosmosDB: Azure Private Endpoints (Selected VNets)
Data Security Scanner Config,{{DSS_CDBAZ2_R}},CosmosDB: Azure Private Endpoints (Selected VNets) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: CosmosDB: Azure Private Endpoints (Selected VNets)
Data Security Scanner Config,{{DSS_DDB}},Amazon DynamoDB,Not available via MCP,18,Data security scanner coverage: Amazon DynamoDB
Data Security Scanner Config,{{DSS_DDB_R}},Amazon DynamoDB - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Amazon DynamoDB
Data Security Scanner Config,{{DSS_DW}},Data Warehouses,Not available via MCP,18,Data security scanner coverage: Data Warehouses
Data Security Scanner Config,{{DSS_DW_R}},Data Warehouses - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Data Warehouses
Data Security Scanner Config,{{DSS_IAAS}},Hosted Databases (IaaS),Not available via MCP,18,Data security scanner coverage: Hosted Databases (IaaS)
Data Security Scanner Config,{{DSS_IAAS_R}},Hosted Databases (IaaS) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Hosted Databases (IaaS)
Data Security Scanner Config,{{DSS_ON}},Data Security Scanner (master toggle),Not available via MCP,18,Data security scanner coverage: Data Security Scanner (master toggle)
Data Security Scanner Config,{{DSS_ON_R}},Data Security Scanner (master toggle) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Data Security Scanner (master toggle)
Data Security Scanner Config,{{DSS_PAAS}},Cloud Managed Databases (PaaS),Not available via MCP,18,Data security scanner coverage: Cloud Managed Databases (PaaS)
Data Security Scanner Config,{{DSS_PAAS_R}},Cloud Managed Databases (PaaS) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Cloud Managed Databases (PaaS)
Data Security Scanner Config,{{DSS_SHAD}},Shadow Data,Not available via MCP,18,Data security scanner coverage: Shadow Data
Data Security Scanner Config,{{DSS_SHAD_R}},Shadow Data - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Shadow Data
Data Security Scanner Config,{{DSS_SLS}},Serverless Functions,Not available via MCP,18,Data security scanner coverage: Serverless Functions
Data Security Scanner Config,{{DSS_SLS_R}},Serverless Functions - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Serverless Functions
Data Security Scanner Config,{{DSS_SNOW}},Snowflake,Not available via MCP,18,Data security scanner coverage: Snowflake
Data Security Scanner Config,{{DSS_SNOW_R}},Snowflake - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Snowflake
Data Security Scanner Config,{{DSS_VDRV}},Virtual Drives,Not available via MCP,18,Data security scanner coverage: Virtual Drives
Data Security Scanner Config,{{DSS_VDRV_R}},Virtual Drives - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Virtual Drives
Data Security Scanner Config,{{DSS_VMD}},VM Disks (OS and non-OS),Not available via MCP,18,Data security scanner coverage: VM Disks (OS and non-OS)
Data Security Scanner Config,{{DSS_VMD_R}},VM Disks (OS and non-OS) - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: VM Disks (OS and non-OS)
Vulnerability Scanner Config,{{VS_ARTIF}},Artifacts (lifecycle stages),"CODE, BUILD, DEPLOY",18,Lifecycle stages where build artifacts are analyzed
Vulnerability Scanner Config,{{VS_ARTIF_R}},Artifacts (lifecycle stages) - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Artifacts (lifecycle stages)
Vulnerability Scanner Config,{{VS_EOL}},End of Life Detection,Enabled (14-day upcoming detection window),18,End-of-life technology detection status/window
Vulnerability Scanner Config,{{VS_EOL_R}},End of Life Detection - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: End of Life Detection
Vulnerability Scanner Config,{{VS_EXCL}},Code Library Exclusion Paths (Legacy),Disabled,18,Whether legacy code-library exclusion paths are enabled
Vulnerability Scanner Config,{{VS_EXCL_R}},Code Library Exclusion Paths (Legacy) - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Code Library Exclusion Paths (Legacy)
Vulnerability Scanner Config,{{VS_GOSTD}},Go Standard Library,Enabled,18,Whether Go standard library vulns are detected
Vulnerability Scanner Config,{{VS_GOSTD_R}},Go Standard Library - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Go Standard Library
Vulnerability Scanner Config,{{VS_GRADL}},Dependency Scopes: Gradle,Default (all scopes),18,Gradle dependency scopes analyzed
Vulnerability Scanner Config,{{VS_GRADL_R}},Dependency Scopes: Gradle - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: Gradle
Vulnerability Scanner Config,{{VS_JSDEP}},Dependency Scopes: JS (npm/pnpm/Yarn),Enabled,18,JS (npm/pnpm/Yarn) dependency scopes analyzed
Vulnerability Scanner Config,{{VS_JSDEP_R}},Dependency Scopes: JS (npm/pnpm/Yarn) - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: JS (npm/pnpm/Yarn)
Vulnerability Scanner Config,{{VS_LOCK}},Lock Files (lifecycle stages),"CODE, BUILD, DEPLOY",18,Lifecycle stages where lock files are analyzed
Vulnerability Scanner Config,{{VS_LOCK_R}},Lock Files (lifecycle stages) - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Lock Files (lifecycle stages)
Vulnerability Scanner Config,{{VS_LVULN}},Linux Vulnerabilities,Not available via MCP,18,Whether latest-kernel Linux vulnerabilities are detected
Vulnerability Scanner Config,{{VS_LVULN_R}},Linux Vulnerabilities - Recommendation,N/A,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Linux Vulnerabilities
Vulnerability Scanner Config,{{VS_MANIF}},Manifest Files (lifecycle stages),"CODE, BUILD, DEPLOY",18,Lifecycle stages where manifest files are analyzed
Vulnerability Scanner Config,{{VS_MANIF_R}},Manifest Files (lifecycle stages) - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Manifest Files (lifecycle stages)
Vulnerability Scanner Config,{{VS_MAVEN}},Dependency Scopes: Maven,Default (all scopes),18,Maven dependency scopes analyzed
Vulnerability Scanner Config,{{VS_MAVEN_R}},Dependency Scopes: Maven - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Dependency Scopes: Maven
Vulnerability Scanner Config,{{VS_OSPKG}},OS-Package Managed Code Libraries,Enabled,18,Whether OS-package managed code library vulns are detected
Vulnerability Scanner Config,{{VS_OSPKG_R}},OS-Package Managed Code Libraries - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: OS-Package Managed Code Libraries
Vulnerability Scanner Config,{{VS_RHOS}},Ignore Red Hat OpenShift Vulns,Disabled (not ignored - vulnerabilities detected),18,Whether Red Hat OpenShift container library vulns are ignored
Vulnerability Scanner Config,{{VS_RHOS_R}},Ignore Red Hat OpenShift Vulns - Recommendation,✅,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Ignore Red Hat OpenShift Vulns
Vulnerability Scanner Config,{{VS_WINB}},Windows App Bundled Libraries,Disabled,18,Whether Windows app bundled library vulns are detected
Vulnerability Scanner Config,{{VS_WINB_R}},Windows App Bundled Libraries - Recommendation,❌,18,Best-practice indicator (✓ aligned / ✗ revisit / N/A) for: Windows App Bundled Libraries
Potential Integrations,{{PI_T1_1}},Tier 1 Potential Integration #1 Name,Not available via MCP,19,Technology name of tier 1 potential integration #1 (by service-account activity)
Potential Integrations,{{PI_T1_1_FA}},Tier 1 Potential Integration #1 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #1
Potential Integrations,{{PI_T1_1_LA}},Tier 1 Potential Integration #1 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #1
Potential Integrations,{{PI_T1_1_SA}},Tier 1 Potential Integration #1 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #1
Potential Integrations,{{PI_T1_2}},Tier 1 Potential Integration #2 Name,Not available via MCP,19,Technology name of tier 1 potential integration #2 (by service-account activity)
Potential Integrations,{{PI_T1_2_FA}},Tier 1 Potential Integration #2 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #2
Potential Integrations,{{PI_T1_2_LA}},Tier 1 Potential Integration #2 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #2
Potential Integrations,{{PI_T1_2_SA}},Tier 1 Potential Integration #2 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #2
Potential Integrations,{{PI_T1_3}},Tier 1 Potential Integration #3 Name,Not available via MCP,19,Technology name of tier 1 potential integration #3 (by service-account activity)
Potential Integrations,{{PI_T1_3_FA}},Tier 1 Potential Integration #3 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #3
Potential Integrations,{{PI_T1_3_LA}},Tier 1 Potential Integration #3 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #3
Potential Integrations,{{PI_T1_3_SA}},Tier 1 Potential Integration #3 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #3
Potential Integrations,{{PI_T1_4}},Tier 1 Potential Integration #4 Name,Not available via MCP,19,Technology name of tier 1 potential integration #4 (by service-account activity)
Potential Integrations,{{PI_T1_4_FA}},Tier 1 Potential Integration #4 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #4
Potential Integrations,{{PI_T1_4_LA}},Tier 1 Potential Integration #4 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #4
Potential Integrations,{{PI_T1_4_SA}},Tier 1 Potential Integration #4 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #4
Potential Integrations,{{PI_T1_5}},Tier 1 Potential Integration #5 Name,Not available via MCP,19,Technology name of tier 1 potential integration #5 (by service-account activity)
Potential Integrations,{{PI_T1_5_FA}},Tier 1 Potential Integration #5 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #5
Potential Integrations,{{PI_T1_5_LA}},Tier 1 Potential Integration #5 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #5
Potential Integrations,{{PI_T1_5_SA}},Tier 1 Potential Integration #5 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #5
Potential Integrations,{{PI_T1_6}},Tier 1 Potential Integration #6 Name,Not available via MCP,19,Technology name of tier 1 potential integration #6 (by service-account activity)
Potential Integrations,{{PI_T1_6_FA}},Tier 1 Potential Integration #6 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #6
Potential Integrations,{{PI_T1_6_LA}},Tier 1 Potential Integration #6 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #6
Potential Integrations,{{PI_T1_6_SA}},Tier 1 Potential Integration #6 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #6
Potential Integrations,{{PI_T1_7}},Tier 1 Potential Integration #7 Name,Not available via MCP,19,Technology name of tier 1 potential integration #7 (by service-account activity)
Potential Integrations,{{PI_T1_7_FA}},Tier 1 Potential Integration #7 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #7
Potential Integrations,{{PI_T1_7_LA}},Tier 1 Potential Integration #7 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #7
Potential Integrations,{{PI_T1_7_SA}},Tier 1 Potential Integration #7 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #7
Potential Integrations,{{PI_T1_8}},Tier 1 Potential Integration #8 Name,Not available via MCP,19,Technology name of tier 1 potential integration #8 (by service-account activity)
Potential Integrations,{{PI_T1_8_FA}},Tier 1 Potential Integration #8 First Seen,Not available via MCP,19,First-added date for tier 1 potential integration #8
Potential Integrations,{{PI_T1_8_LA}},Tier 1 Potential Integration #8 Last Seen,Not available via MCP,19,Latest-added date for tier 1 potential integration #8
Potential Integrations,{{PI_T1_8_SA}},Tier 1 Potential Integration #8 Service Accounts,Not available via MCP,19,Service-account count for tier 1 potential integration #8
Potential Integrations,{{PI_T2_1}},Tier 2 Potential Integration #1 Name,Not available via MCP,19,Technology name of tier 2 potential integration #1 (by service-account activity)
Potential Integrations,{{PI_T2_1_FA}},Tier 2 Potential Integration #1 First Seen,Not available via MCP,19,First-added date for tier 2 potential integration #1
Potential Integrations,{{PI_T2_1_LA}},Tier 2 Potential Integration #1 Last Seen,Not available via MCP,19,Latest-added date for tier 2 potential integration #1
Potential Integrations,{{PI_T2_1_SA}},Tier 2 Potential Integration #1 Service Accounts,Not available via MCP,19,Service-account count for tier 2 potential integration #1
Potential Integrations,{{PI_T2_2}},Tier 2 Potential Integration #2 Name,Not available via MCP,19,Technology name of tier 2 potential integration #2 (by service-account activity)
Potential Integrations,{{PI_T2_2_FA}},Tier 2 Potential Integration #2 First Seen,Not available via MCP,19,First-added date for tier 2 potential integration #2
Potential Integrations,{{PI_T2_2_LA}},Tier 2 Potential Integration #2 Last Seen,Not available via MCP,19,Latest-added date for tier 2 potential integration #2
Potential Integrations,{{PI_T2_2_SA}},Tier 2 Potential Integration #2 Service Accounts,Not available via MCP,19,Service-account count for tier 2 potential integration #2
Potential Integrations,{{PI_T2_3}},Tier 2 Potential Integration #3 Name,Not available via MCP,19,Technology name of tier 2 potential integration #3 (by service-account activity)
Potential Integrations,{{PI_T2_3_FA}},Tier 2 Potential Integration #3 First Seen,Not available via MCP,19,First-added date for tier 2 potential integration #3
Potential Integrations,{{PI_T2_3_LA}},Tier 2 Potential Integration #3 Last Seen,Not available via MCP,19,Latest-added date for tier 2 potential integration #3
Potential Integrations,{{PI_T2_3_SA}},Tier 2 Potential Integration #3 Service Accounts,Not available via MCP,19,Service-account count for tier 2 potential integration #3
Potential Integrations,{{PI_T2_4}},Tier 2 Potential Integration #4 Name,Not available via MCP,19,Technology name of tier 2 potential integration #4 (by service-account activity)
Potential Integrations,{{PI_T2_4_FA}},Tier 2 Potential Integration #4 First Seen,Not available via MCP,19,First-added date for tier 2 potential integration #4
Potential Integrations,{{PI_T2_4_LA}},Tier 2 Potential Integration #4 Last Seen,Not available via MCP,19,Latest-added date for tier 2 potential integration #4
Potential Integrations,{{PI_T2_4_SA}},Tier 2 Potential Integration #4 Service Accounts,Not available via MCP,19,Service-account count for tier 2 potential integration #4
Potential Integrations,{{PI_T2_5}},Tier 2 Potential Integration #5 Name,Not available via MCP,19,Technology name of tier 2 potential integration #5 (by service-account activity)
Potential Integrations,{{PI_T2_5_FA}},Tier 2 Potential Integration #5 First Seen,Not available via MCP,19,First-added date for tier 2 potential integration #5
Potential Integrations,{{PI_T2_5_LA}},Tier 2 Potential Integration #5 Last Seen,Not available via MCP,19,Latest-added date for tier 2 potential integration #5
Potential Integrations,{{PI_T2_5_SA}},Tier 2 Potential Integration #5 Service Accounts,Not available via MCP,19,Service-account count for tier 2 potential integration #5
Potential Integrations,{{PI_T3_1}},Tier 3 Potential Integration #1 Name,Not available via MCP,19,Technology name of tier 3 potential integration #1 (by service-account activity)
Potential Integrations,{{PI_T3_1_FA}},Tier 3 Potential Integration #1 First Seen,Not available via MCP,19,First-added date for tier 3 potential integration #1
Potential Integrations,{{PI_T3_1_LA}},Tier 3 Potential Integration #1 Last Seen,Not available via MCP,19,Latest-added date for tier 3 potential integration #1
Potential Integrations,{{PI_T3_1_SA}},Tier 3 Potential Integration #1 Service Accounts,Not available via MCP,19,Service-account count for tier 3 potential integration #1
Potential Integrations,{{PI_T3_2}},Tier 3 Potential Integration #2 Name,Not available via MCP,19,Technology name of tier 3 potential integration #2 (by service-account activity)
Potential Integrations,{{PI_T3_2_FA}},Tier 3 Potential Integration #2 First Seen,Not available via MCP,19,First-added date for tier 3 potential integration #2
Potential Integrations,{{PI_T3_2_LA}},Tier 3 Potential Integration #2 Last Seen,Not available via MCP,19,Latest-added date for tier 3 potential integration #2
Potential Integrations,{{PI_T3_2_SA}},Tier 3 Potential Integration #2 Service Accounts,Not available via MCP,19,Service-account count for tier 3 potential integration #2
Potential Integrations,{{PI_T3_3}},Tier 3 Potential Integration #3 Name,Not available via MCP,19,Technology name of tier 3 potential integration #3 (by service-account activity)
Potential Integrations,{{PI_T3_3_FA}},Tier 3 Potential Integration #3 First Seen,Not available via MCP,19,First-added date for tier 3 potential integration #3
Potential Integrations,{{PI_T3_3_LA}},Tier 3 Potential Integration #3 Last Seen,Not available via MCP,19,Latest-added date for tier 3 potential integration #3
Potential Integrations,{{PI_T3_3_SA}},Tier 3 Potential Integration #3 Service Accounts,Not available via MCP,19,Service-account count for tier 3 potential integration #3
